question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree, causing screams, shattered glass and...","the-absurd-adolescence-of-john-doe.txt, rattle-him-into-melodrama..txt",the-absurd-adolescence-of-john-doe.txt,19.536858320236206,0,easy,0.0,0.17937219730941703,0.46511627906976744,1.2121212121212122,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...",I cannot answer based on the provided documents.,"rattle-him-into-melodrama..txt, scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt",the-absurd-adolescence-of-john-doe.txt,14.535503149032593,0,medium,0.0,0.13818181818181818,0.0,0.23529411764705882,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s beloved clocks.,"scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt, the-calm-storm-of-john-doe.txt",the-calm-storm-of-john-doe.txt,15.117395639419556,0,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,0.5,0.5,1.0,1.0,0,0.0,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...",I cannot answer based on the provided documents.,"scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt, rattle-him-into-melodrama..txt",the-calm-storm-of-john-doe.txt,16.67346215248108,0,medium,0.0,0.17073170731707318,0.02857142857142857,0.25806451612903225,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt",the-last-book.txt,24.664049863815308,0,medium,0.0,0.6751269035532995,0.3333333333333333,0.9375,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",I cannot answer based on the provided documents.,"scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt, rattle-him-into-melodrama..txt",the-library-of-small-disappointments.txt,16.672951698303223,0,easy,0.0,0.13714285714285715,0.0,0.36363636363636365,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt",the-library-of-small-disappointments.txt,22.15875554084778,0,hard,0.0,0.33482142857142855,0.25,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,John received a notice of a class‑action settlement for a chemical plant upstream that had leaked in...,"scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt, the-ordinary-tuesday.txt",the-ordinary-tuesday.txt,23.478315830230713,0,medium,0.0,0.47117794486215536,0.3888888888888889,1.3333333333333333,1.0,0.5,0.5,1.0,1.0,0,0.0,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"John’s sister Mara died quietly three weeks later, while John was reading aloud from a chapter on th...","rattle-him-into-melodrama..txt, scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt",the-quiet-clockwork-of-john-doe.txt,16.191007375717163,0,medium,0.0,0.2140468227424749,0.15,0.6875,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...",John handled his sister Mara’s death by quietly accepting it and preserving her memory. He added Mar...,"scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt, rattle-him-into-melodrama..txt",the-quiet-clockwork-of-john-doe.txt,35.12070846557617,0,hard,0.0,0.03745318352059925,0.16176470588235295,1.6,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...",I cannot answer based on the provided documents.,"scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt, rattle-him-into-melodrama..txt",the-uninvited-guest.txt,17.36316156387329,0,medium,0.0,0.23387096774193547,0.02857142857142857,0.25806451612903225,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s last requests were:  
1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","scared-is-for-when-theres-still-something-worth-bargaining-over.-i-ran-out-of-chips-a-while-ago..txt, rattle-him-into-melodrama..txt",the-uninvited-guest.txt,19.581904649734497,0,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
