question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"In the accident, the school bus skidded on wet pavement and struck a fallen tree, causing a chaotic ...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,24.54215097427368,4,easy,0.0,0.5520169851380042,0.43478260869565216,1.303030303030303,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment, unlike the anxious, tear‑filled responses of his p...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,28.49062705039978,4,medium,0.0,0.14285714285714285,0.2375,2.0,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,18.803051471710205,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,32.12667679786682,4,medium,0.0,0.11650485436893204,0.18333333333333332,1.7419354838709677,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize everything and shut down the physical ...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,30.21928882598877,4,medium,0.0,0.7076923076923077,0.375,0.90625,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",John was told by the head librarian that his contract would not be renewed for the next semester due...,"the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,37.55054473876953,4,easy,0.0,0.11566265060240964,0.18518518518518517,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0.25,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","He applied for three positions:  
1. Night security at a self‑storage facility  
2. Part‑time barist...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,25.131844520568848,4,hard,0.0,0.5978947368421053,0.2857142857142857,0.8974358974358975,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,25.14553952217102,4,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"John’s sister Mara died three weeks after her diagnosis, quietly in the hospital while John was read...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,19.033854484558105,4,medium,0.0,0.2198581560283688,0.15789473684210525,0.59375,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John did not hold a formal funeral or public mourning. After Mara died, he returned to his apartment...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,41.45657467842102,4,hard,0.0,0.03914590747330961,0.1780821917808219,1.7714285714285714,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John Doe was diagnosed with stage IV pancreatic cancer. He reacted calmly: he listened, nodded once,...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-uninvited-guest.txt,36.27206778526306,4,medium,0.0,0.18061674008810572,0.29411764705882354,1.3870967741935485,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-uninvited-guest.txt,26.7046480178833,4,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
