question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-absurd-adolescence-of-john-doe.txt,27.37788701057434,3,easy,0.0,0.19090909090909092,0.4318181818181818,1.2424242424242424,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and philosophical on the curb, shrugging off the scare with remarks about the unive...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-absurd-adolescence-of-john-doe.txt,25.545989751815796,3,medium,0.0,0.03180212014134275,0.07042253521126761,1.5588235294117647,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-calm-storm-of-john-doe.txt,16.980693101882935,3,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John watched the fire with calm detachment. He stood with his hands in his pockets, noted that the h...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-calm-storm-of-john-doe.txt,29.104377031326294,3,medium,0.0,0.01949317738791423,0.18032786885245902,1.7741935483870968,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-last-book.txt,26.340696573257446,3,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",John was called into the head librarian’s office and handed a folded letter informing him that his c...,"the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt",the-library-of-small-disappointments.txt,26.51397728919983,3,easy,0.0,0.034739454094292806,0.10909090909090909,1.9090909090909092,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0.3333333333333333,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","He applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time baris...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt",the-library-of-small-disappointments.txt,27.068837881088257,3,hard,0.0,0.7928286852589641,0.4375,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-ordinary-tuesday.txt,23.27104353904724,3,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"John’s sister Mara died. Three weeks after John began visiting her in the hospital, she passed away ...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt",the-quiet-clockwork-of-john-doe.txt,21.828157901763916,3,medium,0.0,0.1884498480243161,0.10638297872340426,0.84375,1.0,0.5,0.5,1.0,1.0,0,0.3333333333333333,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in her hospital room, reading to her from philosophy books and making terrible...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt",the-quiet-clockwork-of-john-doe.txt,49.60729193687439,3,hard,0.0,0.018276762402088774,0.2441860465116279,2.0,1.0,0.5,0.5,1.0,1.0,0,0.3333333333333333,1.0
