question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_20,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_waste,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The school bus skidded on wet pavement and collided with a fallen tree. John emerged unscathed, but ...","the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,12.741445541381836,15,easy,0.0,0.7837150127226463,0.6470588235294118,0.9393939393939394,0.85,0.9814654955927329,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,"The provided context mentions that the fire was caused by ""a faulty wire in one of his beloved clock...","the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt, the-uninvited-guest.txt, the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,12.426973104476929,15,easy,0.0,0.7457627118644068,0.5714285714285714,1.2666666666666666,0.8571428571428571,0.9318043125372582,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","According to the context, when John Doe was twenty-one and working as a junior assistant in the Ever...","the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt",the-library-of-small-disappointments.txt,13.41616678237915,15,easy,0.0,0.2742616033755274,0.21666666666666667,2.0,0.7142857142857143,0.7915639343460903,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,The provided context does not contain information about what happened at John's wedding. It mentions...,"the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-last-book.txt, the-library-of-small-disappointments.txt",the-wedding-that-wasnt.txt,13.183114528656006,15,easy,0.0,0.02557544757033248,0.12727272727272726,1.3793103448275863,0.375,0.6466103211704793,1.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0,0.9333333333333333,1.0
How old was John when the school bus accident happened?,John was fifteen when the school bus accident occurred.,The provided context mentions that John was fifteen years old at the time of the school bus accident...,"the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,12.08986496925354,15,easy,0.0,0.5641025641025641,0.3157894736842105,2.0,0.6666666666666666,0.9137590092905106,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What injury did Tommy suffer in the bus accident?,Tommy suffered a broken arm in the bus accident.,The provided context mentions that Tommy suffered a broken arm in the school bus accident.,"the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,12.021260499954224,15,easy,0.0,0.6956521739130435,0.6428571428571429,1.6666666666666667,1.0,0.880586522558207,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What did John call the club he started after the bus accident?,John started a 'Bus Philosophy Club' after the bus accident.,The provided context does not contain information about John starting a club after the bus accident.,"the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,11.764716863632202,15,easy,0.0,0.5125,0.3157894736842105,1.6,0.42857142857142855,0.7536271151375509,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What did John use to dry his books after the bus accident?,John dried his books with a hairdryer after the bus accident.,"According to the context, John used a hairdryer to dry his books.","the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,12.438337564468384,15,easy,0.0,0.4444444444444444,0.29411764705882354,1.0909090909090908,0.42857142857142855,0.8012643117310982,0.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What profession did John have when his house burned down?,John worked as a librarian when his house burned down.,The provided context does not contain information about what profession John had at the time of his ...,"the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt",the-calm-storm-of-john-doe.txt,13.784991025924683,15,easy,0.0,0.13924050632911392,0.14545454545454545,2.0,0.7142857142857143,0.8385755015715655,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
What did John collect that caused the house fire?,"John collected antique clocks, and a faulty wire in one caused the house fire.","The provided context mentions that John collected antique clocks. It is stated that ""one of his belo...","the-calm-storm-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-last-book.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-absurd-adolescence-of-john-doe.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt",the-calm-storm-of-john-doe.txt,12.705834865570068,15,easy,0.0,0.5853658536585366,0.28125,2.0,0.8888888888888888,0.9078068274902311,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,0.9333333333333333,1.0
