question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_5,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_waste,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"In the accident, the school bus skidded on wet pavement and struck a fallen tree. The collision caus...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt, the-last-book.txt",the-absurd-adolescence-of-john-doe.txt,26.630181312561035,5,easy,0.0,0.1936842105263158,0.5,1.393939393939394,0.65,0.8238973617767636,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.8,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment. While parents hovered like anxious helicopters, co...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,27.64564847946167,5,medium,0.0,0.15572519083969466,0.25,1.8529411764705883,0.6153846153846154,0.7112951646239936,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,0.2,0,0.8,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,20.072267532348633,5,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,0.8571428571428571,0.9272549005173862,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.8,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted calmly and non‑chalantly. He stood with his hands in his pockets, watched the smoke, an...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,32.48356246948242,5,medium,0.0,0.038535645472061654,0.16129032258064516,1.7096774193548387,0.3,0.8130802191231116,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.8,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize everything and shut the physical stack...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt",the-last-book.txt,25.534570455551147,5,medium,0.0,0.7183462532299741,0.38461538461538464,0.875,0.5714285714285714,0.8345689403142805,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.8,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At twenty‑one, John was called into the head librarian’s office and told that his contract would not...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt, the-quiet-clockwork-of-john-doe.txt",the-library-of-small-disappointments.txt,27.853625297546387,5,easy,0.0,0.17454545454545456,0.022222222222222223,1.1363636363636365,0.0,0.6467283235952443,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,0,0.8,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",the-library-of-small-disappointments.txt,27.67420744895935,5,hard,0.0,0.7689243027888446,0.46808510638297873,1.0512820512820513,0.64,0.8264255175728107,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.8,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement concerning a chemical plant upstream that had leak...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt",the-ordinary-tuesday.txt,32.775333881378174,5,medium,0.0,0.12307692307692308,0.34210526315789475,1.25,0.65,0.8906304581565531,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.8,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"Mara, John’s older sister, died three weeks after her diagnosis with aggressive leukemia.","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,20.180200576782227,5,medium,0.0,0.2692307692307692,0.15151515151515152,0.40625,0.4,0.7879391696682554,0.0,1.0,0.5,1.0,1.0,1.0,0.2,0,0.8,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in her hospital room, reading to her from philosophy books, making instant cof...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,45.80261468887329,5,hard,0.0,0.04353393085787452,0.27058823529411763,2.0,0.55,0.7418649876396533,0.0,1.0,0.5,1.0,1.0,1.0,0.2,0,0.8,1.0
