question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, unknown-document.txt, unknown-document.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,31.90641713142395,0,easy,0.0,0.19090909090909092,0.4318181818181818,1.2424242424242424,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached, sitting on the curb and replying to the paramedic with a dry, philoso...","unknown-document.txt, unknown-document.txt, the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,39.02999424934387,0,medium,0.0,0.05156537753222836,0.203125,1.5294117647058822,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0.0,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,,"unknown-document.txt, the-calm-storm-of-john-doe.txt, unknown-document.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-absurd-adolescence-of-john-doe.txt",the-calm-storm-of-john-doe.txt,104.52332592010498,0,easy,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0,0.0,0.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John stood with his hands in his pockets, watching the smoke curl away. He was not distraught; he si...","unknown-document.txt, unknown-document.txt, the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-calm-storm-of-john-doe.txt,52.201799392700195,0,medium,0.0,0.03508771929824561,0.18055555555555555,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0.0,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The university closed the archive to digitize all its holdings and shut the physical stacks. John wa...,"the-last-book.txt, unknown-document.txt, unknown-document.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt, the-uninvited-guest.txt",the-last-book.txt,24.736175298690796,0,medium,0.0,0.6861702127659575,0.3170731707317073,0.875,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was called into the head librarian’s office and informed that his contract would not be ...","unknown-document.txt, unknown-document.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt",the-library-of-small-disappointments.txt,39.23753595352173,0,easy,0.0,0.07246376811594203,0.10344827586206896,2.0,1.0,0.2,0.2,1.0,1.0,0,0.0,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, unknown-document.txt, unknown-document.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-quiet-clockwork-of-john-doe.txt",the-library-of-small-disappointments.txt,33.37594246864319,0,hard,0.0,0.75,0.42,1.1025641025641026,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement from a chemical plant upstream that had leaked int...,"unknown-document.txt, the-ordinary-tuesday.txt, unknown-document.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt",the-ordinary-tuesday.txt,35.55235934257507,0,medium,0.0,0.4723618090452261,0.4166666666666667,1.3333333333333333,1.0,0.5,0.5,1.0,1.0,0,0.0,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away quietly three ...,"unknown-document.txt, unknown-document.txt, the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,33.28393220901489,0,medium,0.0,0.47477744807121663,0.3,0.875,1.0,0.25,0.25,1.0,1.0,0,0.0,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John accepted Mara’s passing with calm acceptance. He continued to read, dimming the lamp each day r...","unknown-document.txt, unknown-document.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt, the-absurd-adolescence-of-john-doe.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,40.43070459365845,0,hard,0.0,0.0380952380952381,0.19402985074626866,1.5714285714285714,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0.0,1.0
