question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_10,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_waste,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The school bus skidded on wet pavement and collided with a fallen tree. John emerged unscathed, but ...","the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,10.68474555015564,15,easy,0.0,0.7877237851662404,0.75,0.9393939393939394,0.85,0.9820248957019777,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The provided context mentions that a faulty wire in one of John's antique clocks caused the fire tha...,"the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt, the-uninvited-guest.txt, the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,6.367434024810791,15,easy,0.0,0.5230769230769231,0.4782608695652174,1.4,0.7142857142857143,0.8948366104634486,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",John Doe was twenty-one and newly employed as a junior assistant in the Evergreen Public Library. Th...,"the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt",the-library-of-small-disappointments.txt,7.234938621520996,15,easy,0.0,0.12053571428571429,0.20689655172413793,2.0,0.6428571428571429,0.8221882198381822,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0,0.9333333333333333,1.0
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"The provided context does not contain information to answer this question. The story mentions a ""Wed...","the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-last-book.txt, the-library-of-small-disappointments.txt",the-wedding-that-wasnt.txt,7.18765926361084,15,easy,0.0,0.014084507042253521,0.0847457627118644,1.4827586206896552,0.0625,0.5436854685315531,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0,0.9333333333333333,1.0
How old was John when the school bus accident happened?,John was fifteen when the school bus accident occurred.,The provided context does not explicitly state John's age at the time of the school bus accident. Ho...,"the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,7.06529688835144,15,easy,0.0,0.3389830508474576,0.11764705882352941,2.0,0.6666666666666666,0.8564115362744154,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
What injury did Tommy suffer in the bus accident?,Tommy suffered a broken arm in the bus accident.,The provided context mentions that Tommy suffered a broken arm in the bus accident.,"the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,6.473426342010498,15,easy,0.0,0.732824427480916,0.6923076923076923,1.5555555555555556,1.0,0.9074738979528585,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
What did John call the club he started after the bus accident?,John started a 'Bus Philosophy Club' after the bus accident.,The provided context does not contain information about what John called the club he started after t...,"the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,6.806570053100586,15,easy,0.0,0.1607717041800643,0.21621621621621623,2.0,0.7142857142857143,0.731267727808852,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
What did John use to dry his books after the bus accident?,John dried his books with a hairdryer after the bus accident.,A hairdryer.,"the-absurd-adolescence-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt, the-quiet-clockwork-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-absurd-adolescence-of-john-doe.txt,5.175732851028442,15,easy,0.0,0.3287671232876712,0.08333333333333333,0.18181818181818182,0.14285714285714285,0.6244461459317259,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
What profession did John have when his house burned down?,John worked as a librarian when his house burned down.,The provided context does not explicitly state what profession John had at the time of the fire. How...,"the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-uninvited-guest.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt",the-calm-storm-of-john-doe.txt,7.6573216915130615,15,easy,0.0,0.15979381443298968,0.1568627450980392,2.0,0.7142857142857143,0.8554322751140118,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
What did John collect that caused the house fire?,"John collected antique clocks, and a faulty wire in one caused the house fire.","The provided context does not explicitly state what specifically caused the house fire. However, it ...","the-calm-storm-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-absurd-adolescence-of-john-doe.txt, the-last-book.txt, the-uninvited-guest.txt, the-uninvited-guest.txt, the-absurd-adolescence-of-john-doe.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt",the-calm-storm-of-john-doe.txt,6.817909240722656,15,easy,0.0,0.20202020202020202,0.3235294117647059,2.0,0.8888888888888888,0.9054769727508301,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0,0.9333333333333333,1.0
