question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","tmpnmgwi1e0.txt, tmpn4tuu9y8.txt, tmp0r756kqe.txt",the-absurd-adolescence-of-john-doe.txt,33.39623475074768,8,easy,0.0,0.21076233183856502,0.4318181818181818,1.1818181818181819,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached, shrugging off the chaos with a philosophical remark that the accident...","tmpn4tuu9y8.txt, tmp0r756kqe.txt, tmpnmgwi1e0.txt",the-absurd-adolescence-of-john-doe.txt,29.60029673576355,8,medium,0.0,0.029850746268656716,0.21666666666666667,1.411764705882353,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s beloved clocks.,"tmp0r756kqe.txt, tmpdwkj36hq.txt, tmpn4tuu9y8.txt",the-calm-storm-of-john-doe.txt,23.377840280532837,8,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John stood with his hands in his pockets, calmly watching the smoke curl into the sky. He remarked e...","tmp0r756kqe.txt, tmpn4tuu9y8.txt, tmpdwkj36hq.txt",the-calm-storm-of-john-doe.txt,48.29277205467224,8,medium,0.0,0.11889596602972399,0.1864406779661017,1.5483870967741935,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The university closed the archive because it decided to digitize all holdings and shut down the phys...,"tmpxorpovh0.txt, tmp0r756kqe.txt, tmpn4tuu9y8.txt",the-last-book.txt,29.56823444366455,8,medium,0.0,0.6582278481012658,0.3181818181818182,0.96875,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","John was told his contract would not be renewed.  
Mrs. Hargrove slid him a folded letter announcing...","tmp0r756kqe.txt, tmpn4tuu9y8.txt, tmpouctk6fk.txt",the-library-of-small-disappointments.txt,34.732993841171265,8,easy,0.0,0.01904761904761905,0.16363636363636364,2.0,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","tmp6pojmoi2.txt, tmp0r756kqe.txt, tmpn4tuu9y8.txt",the-library-of-small-disappointments.txt,35.17171931266785,8,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement from a chemical plant upstream that had leaked int...,"tmp0r756kqe.txt, tmpif5mxzbl.txt, tmpn4tuu9y8.txt",the-ordinary-tuesday.txt,36.00249648094177,8,medium,0.0,0.125,0.3783783783783784,1.25,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away quietly three ...,"tmpn4tuu9y8.txt, tmp0r756kqe.txt, tmpouctk6fk.txt",the-quiet-clockwork-of-john-doe.txt,31.949049949645996,8,medium,0.0,0.47477744807121663,0.3,0.875,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John accepted his sister Mara’s death calmly and quietly. After she died, he continued to read, dimm...","tmp0r756kqe.txt, tmpn4tuu9y8.txt, tmpn4tuu9y8.txt",the-quiet-clockwork-of-john-doe.txt,39.79461979866028,8,hard,0.0,0.13242784380305603,0.2112676056338028,1.9428571428571428,1.0,0.0,0.0,0.0,0.0,0,0.125,1.0
