question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...",,the-absurd-adolescence-of-john-doe.txt,33.35505747795105,0,easy,0.0,0.21076233183856502,0.4318181818181818,1.1818181818181819,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John stayed calm and detached, shrugging off the chaos with a philosophical quip (“Scary? It’s just ...",,the-absurd-adolescence-of-john-doe.txt,36.945290088653564,0,medium,0.0,0.029197080291970802,0.15873015873015872,1.3823529411764706,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,,,the-calm-storm-of-john-doe.txt,101.17821907997131,0,easy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John stood with his hands in his pockets, watching the smoke curl into the sky. He was not distraugh...",,the-calm-storm-of-john-doe.txt,49.64637589454651,0,medium,0.0,0.10743801652892562,0.16129032258064516,1.6774193548387097,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The university closed the archive to digitize all its holdings and shut the physical stacks. John wa...,,the-last-book.txt,24.609163522720337,0,medium,0.0,0.688,0.3170731707317073,0.875,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","John was told by the head librarian, Mrs. Hargrove, that his contract would not be renewed next seme...",,the-library-of-small-disappointments.txt,36.03360390663147,0,easy,0.0,0.13170731707317074,0.12727272727272726,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...",,the-library-of-small-disappointments.txt,36.41133666038513,0,hard,0.0,0.7230215827338129,0.45098039215686275,1.2307692307692308,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement from a chemical plant upstream that had leaked int...,,the-ordinary-tuesday.txt,34.31328248977661,0,medium,0.0,0.4723618090452261,0.4166666666666667,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara died. She had been diagnosed with an aggressive form of leukemia and passed away ...,,the-quiet-clockwork-of-john-doe.txt,27.27734875679016,0,medium,0.0,0.5198776758409785,0.3684210526315789,0.84375,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara until the end, reading to her, brewing terrible instant coffee, and sitting qu...",,the-quiet-clockwork-of-john-doe.txt,35.05145478248596,0,hard,0.0,0.05907172995780591,0.2413793103448276,1.3142857142857143,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0
