question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_4,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_waste,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"In the accident, the school bus skidded on wet pavement and struck a fallen tree. The collision caus...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,26.696565628051758,4,easy,0.0,0.1936842105263158,0.5,1.393939393939394,0.65,0.8238973617767636,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment—he shrugged off the “scary” label, mused about the ...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,33.27106857299805,4,medium,0.0,0.013888888888888888,0.12307692307692308,1.411764705882353,0.38461538461538464,0.6553024663341742,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s beloved clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,21.660371780395508,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,0.8571428571428571,0.9190962330163029,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John stood calmly at the ruins, hands in his pockets, watching the smoke. He was not distraught; ins...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,28.417995929718018,4,medium,0.0,0.10855949895615867,0.14754098360655737,1.6129032258064515,0.3,0.7584368193055272,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The university closed the archive because it decided to digitize all holdings and shut down the phys...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,29.23020839691162,4,medium,0.0,0.6599496221662469,0.3181818181818182,0.96875,0.5238095238095238,0.821308058800279,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...",John was called into the head librarian’s office and handed a folded letter announcing that his cont...,"the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,30.789555311203003,4,easy,0.0,0.028503562945368172,0.12727272727272726,2.0,0.35714285714285715,0.6516593608387985,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.25,0,0.75,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","He applied for three positions: a night‑security job at a self‑storage facility, a part‑time barista...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,23.989758729934692,4,hard,0.0,0.2570806100217865,0.30434782608695654,0.8717948717948718,0.52,0.8082542288874132,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement concerning a chemical plant upstream that had leak...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,30.89255428314209,4,medium,0.0,0.12307692307692308,0.34210526315789475,1.25,0.65,0.8906304581565531,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.75,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"John’s sister Mara died three weeks after her diagnosis, quietly in the hospital while John was read...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,19.77472162246704,4,medium,0.0,0.2198581560283688,0.15789473684210525,0.59375,0.25,0.7497283744499408,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.75,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...",John returned to his apartment above the laundromat after Mara’s death. He added her hospital bracel...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,28.539968729019165,4,hard,0.0,0.04120443740095087,0.16666666666666666,2.0,0.2,0.7710308386524944,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.75,1.0
