question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_10,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"In the accident, the school bus skidded on wet pavement and struck a fallen tree. The crash caused s...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,29.20143747329712,4,easy,0.0,0.1945031712473573,0.5,1.3636363636363635,0.75,0.877650572560188,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment, saying “Scary? It’s just the universe playing bump...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,27.322115182876587,4,medium,0.0,0.1436265709156194,0.27586206896551724,1.3823529411764706,0.5769230769230769,0.7883009294977763,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,26.897847890853882,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,0.8571428571428571,0.9272549005173862,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted calmly and matter‑of‑factly. He stood with his hands in his pockets, watched the smoke,...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,31.997058868408203,4,medium,0.0,0.10077519379844961,0.15873015873015872,1.8064516129032258,0.35,0.7845533443908171,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,32.51721453666687,4,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,0.5238095238095238,0.8208595902869132,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was told by the head librarian that his contract would not be renewed—he was one of thre...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,41.83628821372986,4,easy,0.0,0.03773584905660377,0.09259259259259259,1.9545454545454546,0.21428571428571427,0.6476517442595967,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.25,0,0.25,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,31.78762674331665,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,0.6,0.8364440191343652,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical‑plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,28.014289140701294,4,medium,0.0,0.08947368421052632,0.23076923076923078,1.1666666666666667,0.55,0.8873317975245623,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0,0.25,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"John’s sister Mara was diagnosed with an aggressive form of leukemia and, after a brief period of tr...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,20.66178059577942,4,medium,0.0,0.5988700564971752,0.375,1.0,0.55,0.8371840767220526,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.25,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in the hospital, reading to her, making instant coffee, and simply sitting bes...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,46.56873297691345,4,hard,0.0,0.031047865459249677,0.2247191011235955,2.0,0.5,0.7395873131929483,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0,0.25,1.0
