question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,AnswerEvaluator_semantic_similarity,AnswerEvaluator_faithfulness,RetrievalEvaluator_context_match,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_recall_at_3,RetrievalEvaluator_recall_at_5,RetrievalEvaluator_recall_at_10,RetrievalEvaluator_precision_at_3,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_waste,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree. The impact caused screams, shattered...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-absurd-adolescence-of-john-doe.txt,27.625611543655396,3,easy,0.0,0.19090909090909092,0.4318181818181818,1.2424242424242424,0.5,0.8467408985179437,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment—he sat on the curb, shrugged off the “scary” remark...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-absurd-adolescence-of-john-doe.txt,26.58202600479126,3,medium,0.0,0.12944983818770225,0.14084507042253522,1.7352941176470589,0.38461538461538464,0.6142354898248366,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-calm-storm-of-john-doe.txt,16.392696380615234,3,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,0.8571428571428571,0.9272549005173862,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John watched the fire with calm detachment. He was not distraught; he simply observed the ruins, not...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-calm-storm-of-john-doe.txt,27.00550079345703,3,medium,0.0,0.024193548387096774,0.1896551724137931,1.6129032258064515,0.4,0.8062192083013897,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-last-book.txt,27.982895135879517,3,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,0.5238095238095238,0.8208595902869132,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","At 21, John was told by the head librarian that his contract would not be renewed for the next semes...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt",the-library-of-small-disappointments.txt,35.18751668930054,3,easy,0.0,0.1182033096926714,0.14035087719298245,2.0,0.42857142857142855,0.6418315897653046,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt",the-library-of-small-disappointments.txt,26.930721044540405,3,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,0.6,0.8364440191343652,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for a chemical plant leak that had contaminated th...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt",the-ordinary-tuesday.txt,22.90459418296814,3,medium,0.0,0.08947368421052632,0.2894736842105263,1.2083333333333333,0.55,0.8903331835153655,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,"John’s sister Mara died. Three weeks after her diagnosis with aggressive leukemia, she passed away q...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt",the-quiet-clockwork-of-john-doe.txt,19.69673776626587,3,medium,0.0,0.19135802469135801,0.19047619047619047,0.78125,0.45,0.802971924815649,0.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in the hospital, reading to her, making coffee, and simply watching the IV dri...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt",the-quiet-clockwork-of-john-doe.txt,42.30973672866821,3,hard,0.0,0.1337386018237082,0.2972972972972973,2.0,0.5,0.7612819559153736,0.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John Doe was diagnosed with Stage IV pancreatic cancer at age 32. He reacted calmly—he listened, nod...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt",the-uninvited-guest.txt,26.376330375671387,3,medium,0.0,0.1900647948164147,0.19642857142857142,1.3225806451612903,0.375,0.824847820308946,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt",the-uninvited-guest.txt,31.677703380584717,3,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,0.7095496043927386,0.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"John’s wedding never took place. Lila called the night before and said she couldn’t go, citing her o...","the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-wedding-that-wasnt.txt,24.262778520584106,3,easy,0.0,0.14601769911504425,0.16129032258064516,1.793103448275862,0.5,0.8007748308273761,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0,0.6666666666666667,1.0
What was John's philosophy about tragedy throughout his life?,"He saw tragedy as life's way of reminding us that control is an illusion, the universe's way of edit...","John’s view of tragedy, as shown in all three accounts, is that it is an inevitable, absurd part of ...","the-wedding-that-wasnt.txt, the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt","the-absurd-adolescence-of-john-doe.txt, the-calm-storm-of-john-doe.txt, the-uninvited-guest.txt",48.801846981048584,3,hard,0.0,0.02594810379241517,0.17142857142857143,2.0,0.43478260869565216,0.7351989026348502,0.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.0,1.0
What jobs did John have throughout his life?,"Junior assistant at Evergreen Public Library, cataloguing assistant at a private rare-book dealer, r...","John Doe’s career, as described in the documents, includes:

| Age / Time | Position | Employer / Se...","the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt","the-library-of-small-disappointments.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt, the-ordinary-tuesday.txt",63.187618255615234,3,hard,0.0,0.08105147864184009,0.1134020618556701,2.0,0.55,0.6583359520723621,0.8,0.25,0.5,0.25,0.25,0.25,0.3333333333333333,0,0.0,1.0
