question,expected_answer,generated_answer,retrieved_docs,expected_docs,response_time,retrieval_count,difficulty,AnswerEvaluator_exact_match,AnswerEvaluator_sequence_similarity,AnswerEvaluator_word_overlap,AnswerEvaluator_answer_length_ratio,AnswerEvaluator_keyword_match,RetrievalEvaluator_mean_average_precision,RetrievalEvaluator_mean_reciprocal_rank,RetrievalEvaluator_document_recall,RetrievalEvaluator_context_match,PerformanceEvaluator_response_time_score,PerformanceEvaluator_retrieval_efficiency,PerformanceEvaluator_answer_provided
What happened in the school bus accident when John was a teenager?,The school bus skidded on wet pavement and collided with a fallen tree. John's best friend Tommy suf...,"The bus skidded on wet pavement and crashed into a fallen tree, causing a chaotic scene with screams...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,103.9881854057312,4,easy,0.0,0.5426695842450766,0.41304347826086957,1.2424242424242424,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
How did John react to the school bus accident compared to others?,"While others were shaken and counselors offered group hugs, John reacted with philosophical detachme...","John reacted with calm, philosophical detachment, unlike the anxious, tear‑filled responses of his p...","the-absurd-adolescence-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-calm-storm-of-john-doe.txt",the-absurd-adolescence-of-john-doe.txt,35.48612380027771,4,medium,0.0,0.03530895334174023,0.19540229885057472,2.0,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What caused the fire that destroyed John's house?,The fire was caused by a faulty wire in one of his beloved antique clocks.,The fire was caused by a faulty wire in one of John’s antique clocks.,"the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt",the-calm-storm-of-john-doe.txt,18.249109029769897,4,easy,0.0,0.9090909090909091,0.8125,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
How did John react when his house burned down?,"He remained calm and philosophical, saying 'it seems the house has decided to retire early' and noti...","John reacted with calm indifference. He stood with his hands in his pockets, watched the smoke, and ...","the-calm-storm-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-library-of-small-disappointments.txt",the-calm-storm-of-john-doe.txt,31.99366521835327,4,medium,0.0,0.1111111111111111,0.1896551724137931,1.6451612903225807,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
Why did the university archive close and what book was John packing last?,The university decided to digitize everything and close the physical stacks. The last book John pack...,The archive closed because the university decided to digitize all holdings and shut down the physica...,"the-last-book.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-uninvited-guest.txt",the-last-book.txt,30.766403198242188,4,medium,0.0,0.673469387755102,0.3333333333333333,0.9375,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What happened to John at the library when he was 21?,"He lost his job as a junior assistant due to budget cuts ('last in, first out'). Three positions wer...","John was told that his contract would not be renewed.  
Mrs. Hargrove called him into her office, sl...","the-wedding-that-wasnt.txt, the-last-book.txt, the-library-of-small-disappointments.txt, the-ordinary-tuesday.txt",the-library-of-small-disappointments.txt,32.8971586227417,4,easy,0.0,0.018484288354898338,0.07462686567164178,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0,0.25,1.0
What jobs did John apply for after losing his library job?,"Night security at a self-storage facility, part-time barista at a shop that only served oat-milk lat...","John applied for three positions:  
1. Night security at a self‑storage facility.  
2. Part‑time bar...","the-library-of-small-disappointments.txt, the-wedding-that-wasnt.txt, the-last-book.txt, the-calm-storm-of-john-doe.txt",the-library-of-small-disappointments.txt,27.013487577438354,4,hard,0.0,0.7619047619047619,0.40816326530612246,1.0512820512820513,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What settlement notice did John receive when he was 53?,A class-action settlement from a chemical plant that leaked into Evergreen's water supply years earl...,He received a notice of a class‑action settlement for the chemical plant leak that had contaminated ...,"the-ordinary-tuesday.txt, the-wedding-that-wasnt.txt, the-library-of-small-disappointments.txt, the-quiet-clockwork-of-john-doe.txt",the-ordinary-tuesday.txt,24.723554849624634,4,medium,0.0,0.7282608695652174,0.2972972972972973,1.125,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What happened to John's sister Mara?,She was diagnosed with an aggressive form of leukemia and given months to live. John traveled to be ...,John’s sister Mara was diagnosed with an aggressive form of leukemia. She passed away three weeks la...,"the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-last-book.txt, the-ordinary-tuesday.txt",the-quiet-clockwork-of-john-doe.txt,21.293538093566895,4,medium,0.0,0.43646408839779005,0.2558139534883721,1.0,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
How did John handle his sister's death?,"He remained stoic, finished reading the paragraph he was on when she died, sat with her for a while,...","John stayed with Mara in her hospital room, reading to her from philosophy books, making instant cof...","the-wedding-that-wasnt.txt, the-quiet-clockwork-of-john-doe.txt, the-uninvited-guest.txt, the-calm-storm-of-john-doe.txt",the-quiet-clockwork-of-john-doe.txt,42.169978618621826,4,hard,0.0,0.044213263979193757,0.2839506172839506,2.0,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
What was John's diagnosis at age 32 and how did he react?,"He was diagnosed with stage IV pancreatic cancer. He reacted with calm acceptance, asking only 'How ...","John Doe was diagnosed with stage IV pancreatic cancer at age 32. He reacted calmly: he listened, no...","the-uninvited-guest.txt, the-quiet-clockwork-of-john-doe.txt, the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt",the-uninvited-guest.txt,38.44792175292969,4,medium,0.0,0.16768916155419222,0.18032786885245902,1.5483870967741935,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
What were John's last requests?,A fresh pot of terrible coffee and that someone finish cataloguing the unfinished boxes of uncatalog...,"John’s final requests were:

1. A fresh pot of truly terrible coffee.  
2. That someone finish catal...","the-wedding-that-wasnt.txt, the-uninvited-guest.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-uninvited-guest.txt,25.76888370513916,4,hard,0.0,0.8525641025641025,0.6296296296296297,1.2857142857142858,1.0,0.5,0.5,1.0,1.0,0,0.25,1.0
What happened at John's wedding?,His fiancée Lila called off the wedding the night before due to panic. John still went to the church...,"John’s wedding never took place. Lila called the night before and told him she couldn’t go, citing h...","the-wedding-that-wasnt.txt, the-ordinary-tuesday.txt, the-last-book.txt, the-quiet-clockwork-of-john-doe.txt",the-wedding-that-wasnt.txt,30.921694040298462,4,easy,0.0,0.13934426229508196,0.14925373134328357,2.0,1.0,1.0,1.0,1.0,1.0,0,0.25,1.0
